Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,87.779999,88.089996,87.279999,87.629997,85.191208,2925600
2019-04-12,87.589996,88.080002,86.970001,88.050003,85.599518,4148900
2019-04-15,88.099998,88.139999,87.370003,87.599998,85.162041,3468900
2019-04-16,87.620003,87.660004,85.279999,85.620003,83.237152,7256100
2019-04-17,85.910004,86.029999,84.559998,84.839996,82.478851,6121300
2019-04-18,85.110001,85.669998,84.580002,85.489998,83.110756,4827400
2019-04-22,85.389999,85.690002,83.779999,84.550003,82.196922,5012000
2019-04-23,84.919998,85.790001,84.519997,85.669998,83.285759,4692300
2019-04-24,85.970001,86.559998,85.660004,86.300003,83.898224,4853800
2019-04-25,86.080002,86.349998,85.470001,86.120003,83.723236,3732500
2019-04-26,86.279999,86.870003,86.129997,86.800003,84.384308,3109400
2019-04-29,86.709999,86.970001,85.849998,85.949997,83.557961,4280600
2019-04-30,86.019997,86.949997,85.480003,86.769997,84.355141,5541400
2019-05-01,86.769997,87.830002,86.720001,86.839996,84.423195,7675800
2019-05-02,86.879997,87.779999,86.669998,86.930000,84.510689,5675900
2019-05-03,87.239998,87.790001,86.930000,87.669998,85.230095,4678400
2019-05-06,87.250000,87.669998,86.870003,87.389999,84.957886,4836000
2019-05-07,87.279999,87.279999,85.209999,85.809998,83.421860,7037100
2019-05-08,85.879997,86.580002,85.669998,85.720001,83.334358,5976800
2019-05-09,85.570000,86.110001,84.959999,85.940002,83.548241,4005000
2019-05-10,85.879997,87.080002,85.709999,86.860001,84.442635,4269000
2019-05-13,86.320000,86.900002,86.080002,86.769997,84.355141,5794100
2019-05-14,86.949997,87.370003,86.739998,87.089996,84.666229,4740500
2019-05-15,87.010002,87.889999,86.720001,87.680000,85.239815,3410600
2019-05-16,87.650002,88.419998,87.449997,88.029999,85.580078,4008500
2019-05-17,87.730003,88.070000,87.410004,87.860001,85.414803,5346600
2019-05-20,87.419998,87.690002,86.239998,86.589996,84.180145,4221100
2019-05-21,86.870003,87.550003,86.750000,87.330002,84.899559,2930100
2019-05-22,87.419998,87.650002,87.160004,87.589996,85.152313,2825100
2019-05-23,87.379997,87.870003,87.089996,87.790001,85.346756,3304500
2019-05-24,88.019997,88.470001,87.989998,88.059998,85.609238,3121800
2019-05-28,88.330002,88.589996,87.139999,87.190002,84.763451,4614500
2019-05-29,87.059998,87.209999,85.709999,86.029999,83.635742,8170000
2019-05-30,86.120003,86.779999,86.029999,86.389999,83.985710,3984100
2019-05-31,86.160004,87.370003,85.889999,86.889999,84.471809,5369200
2019-06-03,87.199997,87.389999,86.480003,87.099998,84.675957,6347800
2019-06-04,87.250000,87.250000,85.949997,86.709999,84.296806,6993200
2019-06-05,87.209999,88.620003,86.989998,88.519997,86.056427,6775400
2019-06-06,88.800003,88.889999,88.050003,88.690002,86.221710,4077200
2019-06-07,89.129997,89.570000,88.919998,89.019997,86.542519,3525700
2019-06-10,89.190002,89.290001,88.400002,88.730003,86.260597,2945500
2019-06-11,88.989998,89.190002,88.309998,88.970001,86.493912,3834000
